 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  H- O.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  22,50 GeV   3,180E+01  5,535E-03  501,97 mm    18,69 mm     1,93 mm  
  25,00 GeV   3,110E+01  5,020E-03  581,47 mm    21,82 mm     2,20 mm  
  27,50 GeV   3,057E+01  4,595E-03  662,55 mm    24,65 mm     2,45 mm  
  30,00 GeV   3,016E+01  4,238E-03  744,89 mm    27,27 mm     2,71 mm  
  32,50 GeV   2,984E+01  3,934E-03  828,22 mm    29,71 mm     2,96 mm  
  35,00 GeV   2,959E+01  3,672E-03  912,34 mm    32,00 mm     3,20 mm  
  37,50 GeV   2,940E+01  3,444E-03  997,09 mm    34,18 mm     3,44 mm  
  40,00 GeV   2,925E+01  3,243E-03    1,08 m     36,24 mm     3,68 mm  
  45,00 GeV   2,906E+01  2,907E-03    1,25 m     43,61 mm     4,13 mm  
  50,00 GeV   2,896E+01  2,635E-03    1,43 m     49,96 mm     4,57 mm  
  55,00 GeV   2,893E+01  2,411E-03    1,60 m     55,62 mm     4,99 mm  
  60,00 GeV   2,894E+01  2,223E-03    1,77 m     60,75 mm     5,39 mm  
  65,00 GeV   2,898E+01  2,063E-03    1,94 m     65,48 mm     5,78 mm  
  70,00 GeV   2,905E+01  1,925E-03    2,12 m     69,86 mm     6,16 mm  
  80,00 GeV   2,923E+01  1,700E-03    2,46 m     85,07 mm     6,87 mm  
  90,00 GeV   2,944E+01  1,523E-03    2,80 m     97,78 mm     7,53 mm  
 100,00 GeV   2,966E+01  1,380E-03    3,14 m    108,87 mm     8,15 mm  
 110,00 GeV   2,989E+01  1,262E-03    3,47 m    118,78 mm     8,74 mm  
 120,00 GeV   3,013E+01  1,164E-03    3,81 m    127,79 mm     9,29 mm  
 130,00 GeV   3,036E+01  1,080E-03    4,14 m    136,07 mm     9,82 mm  
 140,00 GeV   3,058E+01  1,007E-03    4,47 m    143,77 mm    10,32 mm  
 150,00 GeV   3,080E+01  9,443E-04    4,79 m    150,98 mm    10,80 mm  
 160,00 GeV   3,102E+01  8,889E-04    5,12 m    157,76 mm    11,26 mm  
 170,00 GeV   3,122E+01  8,398E-04    5,44 m    164,17 mm    11,70 mm  
 180,00 GeV   3,142E+01  7,960E-04    5,76 m    170,27 mm    12,13 mm  
 200,00 GeV   3,181E+01  7,212E-04    6,39 m    192,34 mm    12,93 mm  
 225,00 GeV   3,225E+01  6,457E-04    7,17 m    221,76 mm    13,86 mm  
 230,00 GeV   2,580E+01  6,326E-04    7,34 m    223,12 mm    14,06 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  1,0070E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
